F,I,I,Q,A
tensor(69),tensor(69.0478)
tensor(113),tensor(111.6010)
tensor(86),tensor(86.0121)
tensor(48),tensor(48.0900)
tensor(70),tensor(70.0676)
tensor(71),tensor(70.3124)
tensor(114),tensor(113.6510)
tensor(89),tensor(89.1258)
tensor(107),tensor(106.9911)
tensor(151),tensor(151.1258)
tensor(196),tensor(195.9436)
tensor(160),tensor(159.8098)
tensor(115),tensor(115.1716)
tensor(116),tensor(115.8056)
tensor(161),tensor(161.1994)
tensor(166),tensor(165.9062)
tensor(129),tensor(129.1315)
tensor(117),tensor(116.9959)
tensor(93),tensor(92.9816)
tensor(78),tensor(78.2006)
tensor(87),tensor(87.0352)
tensor(118),tensor(117.9842)
tensor(59),tensor(59.0618)
tensor(130),tensor(129.7314)
tensor(158),tensor(157.4839)
tensor(124),tensor(123.9496)
tensor(79),tensor(79.1347)
tensor(123),tensor(122.9422)
tensor(152),tensor(151.8875)
tensor(94),tensor(94.1257)
tensor(52),tensor(52.2854)
tensor(121),tensor(120.8644)
tensor(99),tensor(99.1796)
tensor(103),tensor(103.2669)
tensor(125),tensor(124.9290)
tensor(168),tensor(167.9505)
tensor(65),tensor(65.0393)
tensor(15),tensor(15.0060)
tensor(39),tensor(39.0276)
tensor(142),tensor(142.2811)
tensor(16),tensor(15.8457)
tensor(1),tensor(3.0003)
tensor(8),tensor(7.6470)
tensor(40),tensor(39.9180)
tensor(42),tensor(42.0293)
tensor(13),tensor(12.9965)
tensor(176),tensor(176.2175)
tensor(177),tensor(176.9277)
tensor(140),tensor(140.0284)
tensor(143),tensor(143.0900)
tensor(131),tensor(131.1538)
tensor(172),tensor(172.2834)
tensor(181),tensor(181.0226)
tensor(83),tensor(82.9650)
tensor(84),tensor(83.8899)
tensor(95),tensor(94.8597)
tensor(25),tensor(24.8548)
tensor(153),tensor(152.8952)
tensor(132),tensor(131.7735)
tensor(173),tensor(173.0209)
tensor(197),tensor(197.1242)
tensor(75),tensor(75.1566)
tensor(154),tensor(154.0829)
tensor(41),tensor(40.9949)
tensor(53),tensor(53.0599)
tensor(169),tensor(168.8799)
tensor(162),tensor(161.9912)
tensor(122),tensor(122.0364)
tensor(174),tensor(173.9029)
tensor(198),tensor(197.9996)
tensor(199),tensor(197.9998)
tensor(178),tensor(177.8391)
tensor(182),tensor(179.9999)
tensor(77),tensor(77.4289)
tensor(19),tensor(18.7965)
tensor(38),tensor(37.9835)
tensor(138),tensor(138.1642)
tensor(81),tensor(80.9685)
tensor(66),tensor(66.2248)
tensor(96),tensor(96.0446)
tensor(80),tensor(80.0280)
tensor(163),tensor(162.9368)
tensor(170),tensor(170.0022)
tensor(155),tensor(154.9922)
tensor(133),tensor(133.0900)
tensor(102),tensor(102.2320)
tensor(35),tensor(35.0805)
tensor(104),tensor(104.1397)
tensor(72),tensor(71.8571)
tensor(43),tensor(43.1225)
tensor(14),tensor(13.8378)
tensor(20),tensor(19.9306)
tensor(55),tensor(54.8651)
tensor(108),tensor(107.7765)
tensor(119),tensor(118.3133)
tensor(165),tensor(164.9998)
tensor(76),tensor(75.9105)
tensor(105),tensor(104.9618)
tensor(56),tensor(56.1408)
tensor(27),tensor(26.8854)
tensor(2),tensor(3.0000)
tensor(18),tensor(17.7425)
tensor(180),tensor(179.9997)
tensor(33),tensor(32.8300)
tensor(34),tensor(34.2623)
tensor(88),tensor(87.7028)
tensor(106),tensor(106.0357)
tensor(6),tensor(6.0289)
tensor(54),tensor(53.9943)
tensor(57),tensor(57.1481)
tensor(58),tensor(57.9275)
tensor(29),tensor(28.6849)
tensor(141),tensor(141.1575)
tensor(49),tensor(49.1985)
tensor(21),tensor(20.9046)
tensor(185),tensor(184.9999)
tensor(23),tensor(23.0089)
tensor(50),tensor(50.0541)
tensor(90),tensor(89.9532)
tensor(98),tensor(98.0878)
tensor(73),tensor(73.0849)
tensor(186),tensor(185.8605)
tensor(44),tensor(44.0254)
tensor(7),tensor(6.6728)
tensor(51),tensor(51.0807)
tensor(171),tensor(171.1066)
tensor(62),tensor(61.9431)
tensor(12),tensor(12.3125)
tensor(9),tensor(8.7735)
tensor(30),tensor(29.9205)
tensor(31),tensor(30.9720)
tensor(82),tensor(81.9816)
tensor(60),tensor(60.0859)
tensor(45),tensor(44.9699)
tensor(17),tensor(16.7773)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0034)
tensor(24),tensor(23.7822)
tensor(10),tensor(9.9911)
tensor(11),tensor(11.0519)
tensor(67),tensor(67.0419)
tensor(101),tensor(100.9933)
tensor(97),tensor(96.9391)
tensor(164),tensor(164.0828)
tensor(179),tensor(179.0861)
tensor(183),tensor(182.7933)
tensor(184),tensor(184.1507)
tensor(136),tensor(136.0970)
tensor(109),tensor(108.9355)
tensor(22),tensor(21.9627)
tensor(91),tensor(90.8216)
tensor(187),tensor(186.9731)
tensor(188),tensor(188.2046)
tensor(189),tensor(188.9633)
tensor(28),tensor(27.9524)
tensor(137),tensor(137.1695)
tensor(175),tensor(175.2458)
tensor(146),tensor(146.0077)
tensor(167),tensor(167.1182)
tensor(190),tensor(189.9115)
tensor(46),tensor(46.0681)
tensor(36),tensor(36.0151)
tensor(147),tensor(147.0755)
tensor(148),tensor(148.1551)
tensor(191),tensor(190.9272)
tensor(156),tensor(154.9998)
tensor(134),tensor(134.2417)
tensor(149),tensor(149.3701)
tensor(157),tensor(157.0693)
tensor(192),tensor(191.8985)
tensor(159),tensor(159.0058)
tensor(63),tensor(63.0906)
tensor(64),tensor(63.8933)
tensor(110),tensor(110.1870)
tensor(111),tensor(111.0577)
tensor(144),tensor(144.0141)
tensor(85),tensor(85.1568)
tensor(145),tensor(144.7461)
tensor(126),tensor(125.7421)
tensor(139),tensor(139.1443)
tensor(193),tensor(193.1059)
tensor(194),tensor(193.9932)
tensor(47),tensor(46.7739)
tensor(37),tensor(37.0467)
tensor(26),tensor(25.9715)
tensor(112),tensor(111.6917)
tensor(135),tensor(135.0891)
tensor(100),tensor(99.7968)
tensor(127),tensor(126.8817)
tensor(74),tensor(74.0824)
tensor(195),tensor(195.1659)
tensor(92),tensor(92.1525)
tensor(4),tensor(4.2998)
tensor(5),tensor(5.3639)
tensor(32),tensor(31.6992)
tensor(61),tensor(61.0461)
tensor(128),tensor(127.8161)
tensor(150),tensor(149.9853)
tensor(120),tensor(119.9083)
tensor(68),tensor(68.0391)
tensor(69),tensor(68.9458)
tensor(113),tensor(112.8706)
tensor(86),tensor(86.1324)
tensor(48),tensor(48.3459)
tensor(70),tensor(70.0801)
tensor(71),tensor(70.6040)
tensor(114),tensor(113.9908)
tensor(89),tensor(88.9553)
tensor(107),tensor(106.7165)
tensor(151),tensor(151.1243)
tensor(196),tensor(195.8913)
tensor(160),tensor(159.8343)
tensor(115),tensor(115.2906)
tensor(116),tensor(115.9263)
tensor(161),tensor(160.9666)
tensor(166),tensor(165.9970)
tensor(129),tensor(128.6969)
tensor(117),tensor(116.9815)
tensor(93),tensor(92.6710)
tensor(78),tensor(77.9760)
tensor(87),tensor(86.8874)
tensor(118),tensor(117.7716)
tensor(59),tensor(59.0807)
tensor(130),tensor(129.9027)
tensor(158),tensor(157.7098)
tensor(124),tensor(123.9426)
tensor(79),tensor(78.9957)
tensor(123),tensor(123.1019)
tensor(152),tensor(152.0430)
tensor(94),tensor(94.0711)
tensor(52),tensor(52.1869)
tensor(121),tensor(120.7153)
tensor(99),tensor(99.2287)
tensor(103),tensor(103.4089)
tensor(125),tensor(125.1428)
tensor(168),tensor(168.3057)
tensor(65),tensor(65.2271)
tensor(15),tensor(15.0062)
tensor(39),tensor(39.0205)
tensor(142),tensor(142.2038)
tensor(16),tensor(15.8881)
tensor(1),tensor(3.0001)
tensor(8),tensor(7.7440)
tensor(40),tensor(40.0770)
tensor(42),tensor(42.0468)
tensor(13),tensor(12.9987)
tensor(176),tensor(176.1648)
tensor(177),tensor(177.1222)
tensor(140),tensor(140.0963)
tensor(143),tensor(143.0724)
tensor(131),tensor(131.0407)
tensor(172),tensor(172.2406)
tensor(181),tensor(181.0298)
tensor(83),tensor(82.8836)
tensor(84),tensor(84.0974)
tensor(95),tensor(95.0318)
tensor(25),tensor(24.8053)
tensor(153),tensor(153.0194)
tensor(132),tensor(131.7761)
tensor(173),tensor(173.1339)
tensor(197),tensor(197.2294)
tensor(75),tensor(74.9933)
tensor(154),tensor(153.2924)
tensor(41),tensor(40.6356)
tensor(53),tensor(53.0462)
tensor(169),tensor(169.2804)
tensor(162),tensor(161.8943)
tensor(122),tensor(121.9343)
tensor(174),tensor(173.9339)
tensor(198),tensor(197.9999)
tensor(199),tensor(197.9998)
tensor(178),tensor(178.0356)
tensor(182),tensor(179.9998)
tensor(77),tensor(77.4415)
tensor(19),tensor(18.8298)
tensor(38),tensor(37.8246)
tensor(138),tensor(138.2254)
tensor(81),tensor(80.9641)
tensor(66),tensor(66.2244)
tensor(96),tensor(96.0379)
tensor(80),tensor(80.2405)
tensor(163),tensor(162.8306)
tensor(170),tensor(170.1627)
tensor(155),tensor(154.9762)
tensor(133),tensor(132.7883)
tensor(102),tensor(102.1662)
tensor(35),tensor(35.1499)
tensor(104),tensor(103.9599)
tensor(72),tensor(71.7489)
tensor(43),tensor(43.1938)
tensor(14),tensor(14.1378)
tensor(20),tensor(20.0609)
tensor(55),tensor(55.1396)
tensor(108),tensor(107.9839)
tensor(119),tensor(118.9298)
tensor(165),tensor(165.1263)
tensor(76),tensor(75.8809)
tensor(105),tensor(105.0223)
tensor(56),tensor(56.1047)
tensor(27),tensor(26.8959)
tensor(2),tensor(3.0004)
tensor(18),tensor(17.7596)
tensor(180),tensor(179.9994)
tensor(33),tensor(32.9120)
tensor(34),tensor(34.1082)
tensor(88),tensor(87.8347)
tensor(106),tensor(106.0037)
tensor(6),tensor(6.0464)
tensor(54),tensor(53.9911)
tensor(57),tensor(57.2028)
tensor(58),tensor(58.0172)
tensor(29),tensor(28.7158)
tensor(141),tensor(140.8774)
tensor(49),tensor(49.1291)
tensor(21),tensor(20.9306)
tensor(185),tensor(185.0000)
tensor(23),tensor(23.0159)
tensor(50),tensor(50.1790)
tensor(90),tensor(89.7095)
tensor(98),tensor(98.1376)
tensor(73),tensor(72.9909)
tensor(186),tensor(185.7471)
tensor(44),tensor(44.0554)
tensor(7),tensor(6.8942)
tensor(51),tensor(51.2585)
tensor(171),tensor(171.2894)
tensor(62),tensor(61.9397)
tensor(9),tensor(8.6071)
tensor(30),tensor(29.7987)
tensor(31),tensor(31.0257)
tensor(82),tensor(82.0177)
tensor(60),tensor(59.9181)
tensor(45),tensor(45.1218)
tensor(17),tensor(16.8246)
tensor(0),tensor(3.0009)
tensor(3),tensor(3.0016)
tensor(24),tensor(23.9660)
tensor(10),tensor(9.9890)
tensor(11),tensor(11.0688)
tensor(67),tensor(67.0610)
tensor(101),tensor(100.9775)
tensor(97),tensor(96.8845)
tensor(164),tensor(163.9634)
tensor(179),tensor(179.2159)
tensor(183),tensor(182.9698)
tensor(184),tensor(183.9659)
tensor(136),tensor(135.9375)
tensor(109),tensor(108.3547)
tensor(22),tensor(21.9229)
tensor(91),tensor(90.7822)
tensor(187),tensor(187.0800)
tensor(188),tensor(188.0508)
tensor(189),tensor(188.9851)
tensor(28),tensor(28.1875)
tensor(137),tensor(137.0870)
tensor(175),tensor(175.1715)
tensor(146),tensor(146.0394)
tensor(167),tensor(167.2010)
tensor(190),tensor(190.0731)
tensor(46),tensor(45.9496)
tensor(36),tensor(36.0079)
tensor(147),tensor(146.9655)
tensor(148),tensor(147.7166)
tensor(191),tensor(190.9210)
tensor(156),tensor(154.9989)
tensor(134),tensor(134.2631)
tensor(149),tensor(149.0483)
tensor(157),tensor(157.0109)
tensor(192),tensor(191.9604)
tensor(159),tensor(158.9355)
tensor(63),tensor(63.1942)
tensor(64),tensor(63.9733)
tensor(110),tensor(109.7580)
tensor(111),tensor(110.7472)
tensor(144),tensor(143.9967)
tensor(85),tensor(85.0907)
tensor(145),tensor(144.7870)
tensor(126),tensor(125.7782)
tensor(139),tensor(139.1629)
tensor(193),tensor(193.0610)
tensor(194),tensor(193.9703)
tensor(47),tensor(47.0942)
tensor(37),tensor(36.8000)
tensor(26),tensor(25.9513)
tensor(112),tensor(111.8718)
tensor(135),tensor(134.9090)
tensor(100),tensor(100.0197)
tensor(127),tensor(126.8097)
tensor(74),tensor(73.9028)
tensor(195),tensor(195.1487)
tensor(92),tensor(91.6235)
tensor(4),tensor(4.2436)
tensor(5),tensor(4.9667)
tensor(32),tensor(32.2647)
tensor(61),tensor(61.0438)
tensor(128),tensor(128.0928)
tensor(150),tensor(149.9418)
tensor(120),tensor(119.9449)
tensor(68),tensor(68.3355)
tensor(69),tensor(69.2893)
tensor(113),tensor(112.9093)
tensor(86),tensor(86.2058)
tensor(48),tensor(48.1752)
tensor(70),tensor(69.9213)
tensor(71),tensor(70.6549)
tensor(114),tensor(114.0458)
tensor(89),tensor(88.9296)
tensor(107),tensor(107.0754)
tensor(151),tensor(150.9872)
tensor(196),tensor(195.8226)
tensor(160),tensor(160.0830)
tensor(115),tensor(115.2687)
tensor(116),tensor(116.0386)
tensor(161),tensor(161.0719)
tensor(166),tensor(165.9538)
tensor(129),tensor(128.7636)
tensor(117),tensor(116.5137)
tensor(93),tensor(92.8670)
tensor(78),tensor(78.1104)
tensor(87),tensor(87.0050)
tensor(118),tensor(117.9203)
tensor(59),tensor(59.0627)
tensor(130),tensor(129.8723)
tensor(158),tensor(157.8335)
tensor(124),tensor(123.8999)
tensor(79),tensor(79.1467)
tensor(123),tensor(123.0425)
tensor(152),tensor(152.0637)
tensor(94),tensor(94.2294)
tensor(52),tensor(52.1086)
tensor(121),tensor(120.8481)
tensor(99),tensor(98.8029)
tensor(103),tensor(103.3198)
tensor(125),tensor(125.2243)
tensor(168),tensor(168.0674)
tensor(65),tensor(65.0382)
tensor(15),tensor(15.0103)
tensor(39),tensor(38.9981)
tensor(142),tensor(142.2852)
tensor(16),tensor(15.7804)
tensor(1),tensor(3.0001)
tensor(8),tensor(7.6332)
tensor(40),tensor(39.9873)
tensor(42),tensor(41.8610)
tensor(13),tensor(12.9821)
tensor(176),tensor(176.2782)
tensor(177),tensor(177.4090)
tensor(140),tensor(140.2157)
tensor(143),tensor(143.2278)
tensor(131),tensor(130.9838)
tensor(172),tensor(172.4531)
tensor(181),tensor(180.9879)
tensor(83),tensor(83.2703)
tensor(84),tensor(83.9741)
tensor(95),tensor(94.9391)
tensor(25),tensor(24.6499)
tensor(153),tensor(152.9443)
tensor(132),tensor(132.0031)
tensor(173),tensor(172.7065)
tensor(197),tensor(197.1671)
tensor(75),tensor(74.8034)
tensor(154),tensor(153.9497)
tensor(41),tensor(40.9298)
tensor(53),tensor(53.2687)
tensor(169),tensor(169.0767)
tensor(162),tensor(161.6998)
tensor(122),tensor(121.8440)
tensor(174),tensor(174.0157)
tensor(198),tensor(198.0000)
tensor(199),tensor(197.9993)
tensor(178),tensor(178.2529)
tensor(182),tensor(180.0000)
tensor(77),tensor(76.9693)
tensor(19),tensor(18.7386)
tensor(38),tensor(37.7365)
tensor(138),tensor(138.1733)
tensor(81),tensor(80.9707)
tensor(66),tensor(66.0187)
tensor(96),tensor(96.2241)
tensor(80),tensor(80.1081)
tensor(163),tensor(162.9064)
tensor(170),tensor(170.3572)
tensor(155),tensor(154.9790)
tensor(133),tensor(133.3378)
tensor(102),tensor(102.4172)
tensor(35),tensor(34.6573)
tensor(104),tensor(103.7937)
tensor(72),tensor(72.0208)
tensor(43),tensor(43.1975)
tensor(14),tensor(13.9036)
tensor(20),tensor(19.8858)
tensor(55),tensor(55.1194)
tensor(108),tensor(107.9248)
tensor(119),tensor(118.9402)
tensor(165),tensor(165.3937)
tensor(76),tensor(75.5920)
tensor(105),tensor(104.9885)
tensor(56),tensor(56.3189)
tensor(27),tensor(26.8416)
tensor(2),tensor(3.0033)
tensor(18),tensor(17.7264)
tensor(180),tensor(179.9959)
tensor(33),tensor(33.0888)
tensor(34),tensor(33.3972)
tensor(88),tensor(87.8946)
tensor(106),tensor(105.9844)
tensor(6),tensor(5.1157)
tensor(54),tensor(53.9653)
tensor(57),tensor(57.2177)
tensor(58),tensor(58.0171)
tensor(29),tensor(28.7793)
tensor(141),tensor(140.9865)
tensor(49),tensor(49.0924)
tensor(21),tensor(20.8893)
tensor(185),tensor(184.9996)
tensor(23),tensor(23.0104)
tensor(50),tensor(49.8845)
tensor(90),tensor(90.4581)
tensor(98),tensor(98.1786)
tensor(73),tensor(72.7768)
tensor(186),tensor(186.2041)
tensor(44),tensor(44.0422)
tensor(7),tensor(6.6147)
tensor(51),tensor(51.1083)
tensor(171),tensor(171.1024)
tensor(62),tensor(61.9068)
tensor(12),tensor(12.3471)
tensor(9),tensor(8.4621)
tensor(30),tensor(29.3056)
tensor(31),tensor(31.0067)
tensor(82),tensor(81.9119)
tensor(60),tensor(60.0284)
tensor(45),tensor(45.2220)
tensor(17),tensor(16.8017)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0008)
tensor(24),tensor(24.0558)
tensor(10),tensor(9.9023)
tensor(11),tensor(10.6001)
tensor(67),tensor(67.4175)
tensor(101),tensor(101.0732)
tensor(97),tensor(97.0683)
tensor(164),tensor(164.0045)
tensor(179),tensor(179.4305)
tensor(183),tensor(183.0356)
tensor(184),tensor(184.2152)
tensor(136),tensor(136.1847)
tensor(109),tensor(109.6211)
tensor(22),tensor(21.8775)
tensor(91),tensor(90.8542)
tensor(187),tensor(187.0249)
tensor(188),tensor(187.9118)
tensor(189),tensor(189.2088)
tensor(28),tensor(27.7503)
tensor(137),tensor(137.1802)
tensor(175),tensor(175.2161)
tensor(146),tensor(146.0194)
tensor(167),tensor(167.0576)
tensor(190),tensor(189.8871)
tensor(46),tensor(46.1846)
tensor(36),tensor(36.0456)
tensor(147),tensor(147.3485)
tensor(148),tensor(148.2200)
tensor(191),tensor(191.0282)
tensor(156),tensor(154.9999)
tensor(134),tensor(134.2637)
tensor(149),tensor(148.8154)
tensor(157),tensor(157.0292)
tensor(192),tensor(192.0909)
tensor(159),tensor(158.8958)
tensor(63),tensor(63.1508)
tensor(64),tensor(63.9264)
tensor(110),tensor(109.9062)
tensor(111),tensor(111.2620)
tensor(144),tensor(143.9983)
tensor(85),tensor(85.1335)
tensor(145),tensor(144.8548)
tensor(126),tensor(125.8420)
tensor(139),tensor(142.9844)
tensor(193),tensor(192.6479)
tensor(194),tensor(193.8860)
tensor(47),tensor(47.0711)
tensor(37),tensor(36.8602)
tensor(26),tensor(25.9848)
tensor(112),tensor(111.6643)
tensor(135),tensor(134.6728)
tensor(100),tensor(99.9985)
tensor(127),tensor(126.8853)
tensor(74),tensor(73.7236)
tensor(195),tensor(194.8401)
tensor(92),tensor(91.7995)
tensor(4),tensor(4.5967)
tensor(5),tensor(5.3012)
tensor(32),tensor(31.5826)
tensor(61),tensor(60.9871)
tensor(128),tensor(128.2433)
tensor(150),tensor(150.0529)
tensor(120),tensor(120.2295)
tensor(68),tensor(68.2655)
tensor(69),tensor(69.1970)
tensor(113),tensor(111.9385)
tensor(86),tensor(86.1180)
tensor(48),tensor(48.0406)
tensor(70),tensor(70.3690)
tensor(71),tensor(71.2926)
tensor(114),tensor(113.9845)
tensor(89),tensor(88.8771)
tensor(107),tensor(106.9853)
tensor(151),tensor(151.2731)
tensor(196),tensor(195.7639)
tensor(160),tensor(159.6181)
tensor(115),tensor(115.0138)
tensor(116),tensor(115.7438)
tensor(161),tensor(160.9606)
tensor(166),tensor(166.0277)
tensor(129),tensor(129.4580)
tensor(117),tensor(116.6884)
tensor(93),tensor(92.9905)
tensor(78),tensor(78.3457)
tensor(87),tensor(86.9946)
tensor(118),tensor(117.7431)
tensor(59),tensor(58.9853)
tensor(130),tensor(129.9464)
tensor(158),tensor(157.8717)
tensor(124),tensor(124.0570)
tensor(79),tensor(79.2468)
tensor(123),tensor(122.9651)
tensor(152),tensor(152.1684)
tensor(94),tensor(94.2350)
tensor(52),tensor(52.2219)
tensor(121),tensor(121.0125)
tensor(99),tensor(98.5602)
tensor(103),tensor(103.3786)
tensor(125),tensor(125.0322)
tensor(168),tensor(168.0655)
tensor(65),tensor(65.0515)
tensor(15),tensor(15.0027)
tensor(39),tensor(39.1111)
tensor(142),tensor(142.1366)
tensor(16),tensor(15.7080)
tensor(1),tensor(3.0001)
tensor(8),tensor(7.4167)
tensor(40),tensor(40.3221)
tensor(42),tensor(42.1775)
tensor(13),tensor(12.9944)
tensor(176),tensor(176.2738)
tensor(177),tensor(177.0724)
tensor(140),tensor(140.2773)
tensor(143),tensor(143.3840)
tensor(131),tensor(130.9985)
tensor(172),tensor(172.2654)
tensor(181),tensor(180.9750)
tensor(83),tensor(83.2754)
tensor(84),tensor(83.9796)
tensor(95),tensor(94.7875)
tensor(25),tensor(24.6179)
tensor(153),tensor(152.9862)
tensor(132),tensor(132.2494)
tensor(173),tensor(173.1212)
tensor(197),tensor(196.7560)
tensor(75),tensor(74.7850)
tensor(154),tensor(154.1290)
tensor(41),tensor(41.3017)
tensor(53),tensor(53.1991)
tensor(169),tensor(169.3942)
tensor(162),tensor(161.6242)
tensor(122),tensor(122.0947)
tensor(174),tensor(173.9042)
tensor(198),tensor(197.9959)
tensor(199),tensor(197.9998)
tensor(178),tensor(177.9716)
tensor(182),tensor(179.9988)
tensor(77),tensor(77.4667)
tensor(19),tensor(19.0375)
tensor(38),tensor(37.9749)
tensor(138),tensor(138.5894)
tensor(81),tensor(80.9358)
tensor(66),tensor(65.6953)
tensor(96),tensor(96.0428)
tensor(80),tensor(80.3044)
tensor(163),tensor(162.9523)
tensor(170),tensor(170.2754)
tensor(155),tensor(154.9076)
tensor(133),tensor(132.5546)
tensor(102),tensor(102.1295)
tensor(35),tensor(35.0613)
tensor(104),tensor(104.1419)
tensor(72),tensor(72.1843)
tensor(43),tensor(43.1564)
tensor(14),tensor(14.0646)
tensor(20),tensor(20.0556)
tensor(55),tensor(54.9538)
tensor(108),tensor(107.9869)
tensor(119),tensor(118.9220)
tensor(165),tensor(165.2404)
tensor(76),tensor(75.8193)
tensor(105),tensor(105.1240)
tensor(56),tensor(56.2684)
tensor(27),tensor(26.9438)
tensor(2),tensor(3.0005)
tensor(18),tensor(17.6567)
tensor(180),tensor(179.9991)
tensor(33),tensor(33.0971)
tensor(34),tensor(33.6902)
tensor(88),tensor(88.2018)
tensor(106),tensor(106.0771)
tensor(6),tensor(6.0214)
tensor(54),tensor(53.9844)
tensor(57),tensor(57.1960)
tensor(58),tensor(57.9948)
tensor(29),tensor(28.7623)
tensor(141),tensor(141.0491)
tensor(49),tensor(49.1764)
tensor(21),tensor(20.9908)
tensor(185),tensor(184.9994)
tensor(23),tensor(23.0109)
tensor(50),tensor(49.8873)
tensor(90),tensor(89.8706)
tensor(98),tensor(98.0298)
tensor(73),tensor(72.8189)
tensor(186),tensor(185.8821)
tensor(44),tensor(44.0419)
tensor(7),tensor(6.6801)
tensor(51),tensor(51.2368)
tensor(171),tensor(171.2191)
tensor(62),tensor(61.9472)
tensor(12),tensor(12.4720)
tensor(9),tensor(8.7254)
tensor(30),tensor(29.2657)
tensor(31),tensor(30.9968)
tensor(82),tensor(81.9258)
tensor(60),tensor(60.1356)
tensor(45),tensor(45.0286)
tensor(17),tensor(16.6691)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0038)
tensor(24),tensor(24.0347)
tensor(10),tensor(9.9611)
tensor(11),tensor(11.1258)
tensor(67),tensor(66.9802)
tensor(101),tensor(101.0593)
tensor(97),tensor(96.9326)
tensor(164),tensor(164.0352)
tensor(179),tensor(179.2530)
tensor(183),tensor(183.1367)
tensor(184),tensor(184.2567)
tensor(136),tensor(136.1173)
tensor(109),tensor(109.0936)
tensor(22),tensor(21.9062)
tensor(91),tensor(90.6630)
tensor(187),tensor(187.0893)
tensor(188),tensor(187.8501)
tensor(189),tensor(188.8452)
tensor(28),tensor(27.9281)
tensor(137),tensor(137.2326)
tensor(175),tensor(175.1870)
tensor(146),tensor(146.0093)
tensor(167),tensor(167.0764)
tensor(190),tensor(189.9173)
tensor(46),tensor(46.0274)
tensor(36),tensor(36.0635)
tensor(147),tensor(146.9483)
tensor(148),tensor(147.9083)
tensor(191),tensor(190.9746)
tensor(156),tensor(155.0000)
tensor(134),tensor(134.3144)
tensor(149),tensor(149.0470)
tensor(157),tensor(157.0224)
tensor(192),tensor(192.1656)
tensor(159),tensor(158.7146)
tensor(63),tensor(63.2083)
tensor(64),tensor(63.7870)
tensor(110),tensor(109.8802)
tensor(111),tensor(111.0504)
tensor(144),tensor(144.0021)
tensor(85),tensor(85.0394)
tensor(145),tensor(144.8646)
tensor(126),tensor(125.6123)
tensor(139),tensor(138.9494)
tensor(193),tensor(192.6756)
tensor(194),tensor(193.9806)
tensor(47),tensor(46.9978)
tensor(37),tensor(36.8700)
tensor(26),tensor(25.8195)
tensor(112),tensor(111.7153)
tensor(135),tensor(134.9067)
tensor(100),tensor(99.7716)
tensor(127),tensor(126.9730)
tensor(74),tensor(73.9135)
tensor(195),tensor(195.0397)
tensor(92),tensor(92.1039)
tensor(4),tensor(3.9853)
tensor(5),tensor(4.9421)
tensor(32),tensor(31.8456)
tensor(61),tensor(60.8675)
tensor(128),tensor(128.1832)
tensor(150),tensor(149.9532)
tensor(120),tensor(119.8598)
tensor(68),tensor(68.1778)
tensor(69),tensor(69.4247)
tensor(113),tensor(112.1992)
tensor(86),tensor(85.9783)
tensor(48),tensor(48.0677)
tensor(70),tensor(70.1903)
tensor(71),tensor(70.4719)
tensor(114),tensor(114.0890)
tensor(89),tensor(88.8311)
tensor(107),tensor(106.9989)
tensor(151),tensor(151.1212)
tensor(196),tensor(195.8325)
tensor(160),tensor(159.6649)
tensor(115),tensor(115.3099)
tensor(116),tensor(115.7201)
tensor(161),tensor(160.1975)
tensor(166),tensor(165.8083)
tensor(129),tensor(128.9497)
tensor(117),tensor(117.0703)
tensor(93),tensor(92.7053)
tensor(78),tensor(78.0735)
tensor(87),tensor(86.9878)
tensor(118),tensor(117.9064)
tensor(59),tensor(58.9539)
tensor(130),tensor(129.8632)
tensor(158),tensor(157.7285)
tensor(124),tensor(124.0454)
tensor(79),tensor(79.1650)
tensor(123),tensor(122.9223)
tensor(152),tensor(151.9678)
tensor(94),tensor(94.1641)
tensor(52),tensor(52.2854)
tensor(121),tensor(120.7538)
tensor(99),tensor(98.8056)
tensor(103),tensor(103.3026)
tensor(125),tensor(125.1479)
tensor(168),tensor(168.3033)
tensor(65),tensor(65.0445)
tensor(15),tensor(15.0071)
tensor(39),tensor(39.0014)
tensor(142),tensor(142.1911)
tensor(16),tensor(15.7645)
tensor(1),tensor(3.0000)
tensor(8),tensor(7.5512)
tensor(40),tensor(40.3013)
tensor(42),tensor(42.1210)
tensor(13),tensor(12.9958)
tensor(176),tensor(176.2341)
tensor(177),tensor(177.1347)
tensor(140),tensor(140.1229)
tensor(143),tensor(143.3431)
tensor(131),tensor(131.0967)
tensor(172),tensor(172.0504)
tensor(181),tensor(180.8347)
tensor(83),tensor(83.1562)
tensor(84),tensor(83.6346)
tensor(95),tensor(94.8456)
tensor(25),tensor(24.7745)
tensor(153),tensor(153.2393)
tensor(132),tensor(131.8449)
tensor(173),tensor(173.2387)
tensor(197),tensor(197.2205)
tensor(75),tensor(75.1707)
tensor(154),tensor(154.1572)
tensor(41),tensor(41.0752)
tensor(53),tensor(53.2340)
tensor(169),tensor(169.4232)
tensor(162),tensor(161.8205)
tensor(122),tensor(121.7919)
tensor(174),tensor(174.0410)
tensor(198),tensor(197.9701)
tensor(199),tensor(198.0000)
tensor(178),tensor(177.8825)
tensor(182),tensor(180.0000)
tensor(77),tensor(76.8940)
tensor(19),tensor(18.9067)
